grado,tiempo_standard_us,tiempo_horner_us
10,0.078,0.15
20,0.25,0.234
30,0.552,0.354
40,1.043,0.458
50,1.632,0.522
60,2.52,0.609
70,3.46,0.617
80,4.592,0.716
90,5.77,0.857
100,7.206,0.937
110,8.811,1.057
120,10.936,1.189
130,12.704,1.126
140,14.665,1.412
150,17.034,1.336
160,19.438,1.539
170,22.309,1.809
180,25.241,1.625
190,28.155,1.719
200,31.305,1.732
210,34.673,1.926
220,39.398,1.947
230,42.397,1.946
240,46.244,2.23
250,51.822,2.303
260,54.286,2.686
270,58.689,2.887
280,63.668,2.748
290,68.562,3.073
300,73.612,3.199
310,79.163,2.875
320,84.585,2.886
330,89.643,2.902
340,95.319,3.023
350,102.052,3.589
360,107.845,3.795
370,114.135,3.907
380,125.81,3.739
390,126.456,3.719
400,133.063,4.014
410,140.609,4.339
420,147.475,4.221
430,155.022,3.899
440,162.635,3.991
450,171.292,4.804
460,178.674,3.912
470,186,4.204
480,194.871,4.305
490,204.316,4.763
500,214.552,5.177
510,220.598,4.685
520,229.204,4.661
530,238.684,5.031
540,247.6,5.774
550,255.99,4.929
560,266.569,5.025
570,277.627,5.865
580,288,6.813
590,298.552,6.458
600,307.604,5.878
610,317.731,6.05
620,330.787,5.652
630,340.078,5.769
640,353.879,6.777
650,363.719,6.087
660,374.589,7.233
670,389.737,5.872
680,397.76,6.857
690,416.571,6.232
700,420.686,6.804
710,440.337,8.302
720,447.727,7.036
730,459.35,7.502
740,480.082,6.996
750,501.623,8.015
760,500.325,7.49
770,512.852,7.007
780,528.418,7.51
790,542.715,8.211
800,552.368,7.783
810,566.215,7.476
820,581.897,7.897
830,596.49,9.012
840,611.542,9.68
850,627.571,8.224
860,642.077,7.765
870,657.942,8.929
880,672.018,8.131
890,690.682,9.242
900,706.05,9.52
910,720.251,9.03
920,736.317,9.889
930,756.133,10.223
940,769.459,10.122
950,790.217,8.81
960,804.571,9.28
970,823.14,9.89
980,837.423,9.409
990,1131.32,10.247
1000,870.581,9.203
